monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_id
0,0,0,0,0,0,1,20250914,20250921,1024
0,0,0,0,0,0,1,20250914,20250921,1098
0,0,0,0,0,0,1,20250914,20250921,129
0,0,0,0,0,0,1,20250914,20250921,403
0,0,0,0,0,0,1,20250914,20250921,582
0,0,0,0,0,0,1,20250914,20250922,896
0,0,0,0,0,0,1,20250914,20250927,709
0,0,0,0,0,0,1,20250914,20250928,151
0,0,0,0,0,0,1,20250914,20250928,48
0,0,0,0,0,0,1,20250914,20250928,764
0,0,0,0,0,0,1,20250914,20251003,6
0,0,0,0,0,0,1,20250914,20251005,127
0,0,0,0,0,0,1,20250914,20251005,450
0,0,0,0,0,0,1,20250914,20251005,648
0,0,0,0,0,0,1,20250914,20251005,786
0,0,0,0,0,0,1,20250914,20251012,1044
0,0,0,0,0,0,1,20250914,20251012,1056
0,0,0,0,0,0,1,20250914,20251012,178
0,0,0,0,0,0,1,20250914,20251012,229
0,0,0,0,0,0,1,20250914,20251012,231
0,0,0,0,0,0,1,20250914,20251012,313
0,0,0,0,0,0,1,20250914,20251012,452
0,0,0,0,0,0,1,20250914,20251012,707
0,0,0,0,0,0,1,20250914,20251012,761
0,0,0,0,0,0,1,20250914,20251012,767
0,0,0,0,0,0,1,20250914,20251012,897
0,0,0,0,0,0,1,20250914,20251012,913
0,0,0,0,0,0,1,20250914,20251012,92
0,0,0,0,0,0,1,20250914,20251012,924
0,0,0,0,0,0,1,20250916,20251012,849
0,0,0,0,0,0,1,20250917,20251005,987
0,0,0,0,0,0,1,20250921,20250928,28
0,0,0,0,0,0,1,20250921,20251005,264
0,0,0,0,0,0,1,20250921,20251005,551
0,0,0,0,0,0,1,20250921,20251005,581
0,0,0,0,0,0,1,20250921,20251012,36
0,0,0,0,0,0,1,20250921,20251012,423
0,0,0,0,0,0,1,20250921,20251012,430
0,0,0,0,0,0,1,20250921,20251012,550
0,0,0,0,0,0,1,20250926,20251012,368
0,0,0,0,0,0,1,20250927,20251006,133
0,0,0,0,0,0,1,20250928,20251005,1121
0,0,0,0,0,0,1,20250928,20251012,350
0,0,0,0,0,0,1,20250928,20251012,639
0,0,0,0,0,0,1,20250928,20251012,847
0,0,0,0,0,0,1,20251004,20251012,967
0,0,0,0,0,0,1,20251005,20251012,927
0,0,0,0,0,1,0,20250914,20251004,412
0,0,0,0,0,1,0,20250920,20250927,397
0,0,0,0,0,1,0,20250920,20251003,839
0,0,0,0,0,1,0,20250920,20251004,372
0,0,0,0,0,1,0,20250920,20251004,708
0,0,0,0,0,1,0,20250920,20251011,1050
0,0,0,0,0,1,0,20250920,20251011,162
0,0,0,0,0,1,0,20250920,20251011,163
0,0,0,0,0,1,0,20250920,20251011,475
0,0,0,0,0,1,0,20250920,20251011,832
0,0,0,0,0,1,0,20250920,20251011,887
0,0,0,0,0,1,0,20250920,20251012,373
0,0,0,0,0,1,0,20250927,20251004,1038
0,0,0,0,0,1,0,20250927,20251011,1035
0,0,0,0,0,1,0,20250927,20251011,1095
0,0,0,0,0,1,0,20250927,20251011,1107
0,0,0,0,0,1,0,20250927,20251011,1111
0,0,0,0,0,1,0,20250927,20251011,393
0,0,0,0,0,1,0,20250927,20251011,936
0,0,0,0,0,1,0,20250927,20251012,134
0,0,0,0,0,1,0,20251002,20251011,889
0,0,0,0,0,1,0,20251003,20251011,1025
0,0,0,0,0,1,0,20251003,20251011,234
0,0,0,0,0,1,0,20251003,20251012,1123
0,0,0,0,0,1,0,20251004,20251011,31
0,0,0,0,0,1,1,20250914,20250920,1036
0,0,0,0,0,1,1,20250914,20250921,541
0,0,0,0,0,1,1,20250914,20250925,519
0,0,0,0,0,1,1,20250914,20250928,909
0,0,0,0,0,1,1,20250914,20251004,601
0,0,0,0,0,1,1,20250914,20251004,805
0,0,0,0,0,1,1,20250914,20251005,303
0,0,0,0,0,1,1,20250914,20251005,383
0,0,0,0,0,1,1,20250914,20251005,417
0,0,0,0,0,1,1,20250914,20251012,188
0,0,0,0,0,1,1,20250914,20251012,189
0,0,0,0,0,1,1,20250914,20251012,241
0,0,0,0,0,1,1,20250914,20251012,401
0,0,0,0,0,1,1,20250914,20251012,509
0,0,0,0,0,1,1,20250914,20251012,520
0,0,0,0,0,1,1,20250914,20251012,564
0,0,0,0,0,1,1,20250914,20251012,567
0,0,0,0,0,1,1,20250914,20251012,744
0,0,0,0,0,1,1,20250914,20251012,836
0,0,0,0,0,1,1,20250914,20251012,9
0,0,0,0,0,1,1,20250914,20251012,901
0,0,0,0,0,1,1,20250920,20250921,376
0,0,0,0,0,1,1,20250920,20250927,556
0,0,0,0,0,1,1,20250920,20250928,630
0,0,0,0,0,1,1,20250920,20251003,168
0,0,0,0,0,1,1,20250920,20251005,560
0,0,0,0,0,1,1,20250920,20251005,791
0,0,0,0,0,1,1,20250920,20251012,1047
0,0,0,0,0,1,1,20250920,20251012,1070
0,0,0,0,0,1,1,20250920,20251012,898
0,0,0,0,0,1,1,20250921,20251012,11
0,0,0,0,0,1,1,20250921,20251012,722
0,0,0,0,0,1,1,20250926,20251012,173
0,0,0,0,0,1,1,20250926,20251012,572
0,0,0,0,0,1,1,20250927,20250928,83
0,0,0,0,0,1,1,20250927,20251005,306
0,0,0,0,0,1,1,20250927,20251012,351
0,0,0,0,0,1,1,20250927,20251012,435
0,0,0,0,0,1,1,20250927,20251012,626
0,0,0,0,0,1,1,20250927,20251012,638
0,0,0,0,0,1,1,20250927,20251012,75
0,0,0,0,0,1,1,20250928,20251004,860
0,0,0,0,0,1,1,20250928,20251005,124
0,0,0,0,0,1,1,20250928,20251005,130
0,0,0,0,0,1,1,20251003,20251012,738
0,0,0,0,0,1,1,20251004,20251005,1031
0,0,0,0,0,1,1,20251004,20251012,855
0,0,0,0,0,1,1,20251005,20251012,200
0,0,0,0,0,1,1,20251011,20251012,810
0,0,0,0,1,0,0,20250919,20250926,1059
0,0,0,0,1,0,0,20250919,20250926,431
0,0,0,0,1,0,0,20250919,20250927,1007
0,0,0,0,1,0,0,20250919,20251002,506
0,0,0,0,1,0,0,20250919,20251003,181
0,0,0,0,1,0,0,20250919,20251003,945
0,0,0,0,1,0,0,20250919,20251010,227
